"tipo_vehiculo","anio_transferencia","mes_transferencia","provincia_transferencia","letra_provincia_transferencia","cantidad_transferencias","provincia_id"
"Automotores",2000,1,"Buenos Aires","B",39559,"06"
"Automotores",2000,1,"Catamarca","K",476,"10"
"Automotores",2000,1,"Chaco","H",1232,"22"
"Automotores",2000,1,"Chubut","U",1888,"26"
"Automotores",2000,1,"Ciudad Autónoma de Bs.As.","C",14427,"02"
"Automotores",2000,1,"Córdoba","X",13347,"14"
"Automotores",2000,1,"Corrientes","W",1231,"18"
"Automotores",2000,1,"Entre Ríos","E",3217,"30"
"Automotores",2000,1,"Formosa","P",535,"34"
"Automotores",2000,1,"Jujuy","Y",1087,"38"
"Automotores",2000,1,"La Pampa","L",1059,"42"
"Automotores",2000,1,"La Rioja","F",681,"46"
"Automotores",2000,1,"Mendoza","M",6104,"50"
"Automotores",2000,1,"Misiones","N",1703,"54"
"Automotores",2000,1,"Neuquén","Q",1199,"58"
"Automotores",2000,1,"Río Negro","R",1623,"62"
"Automotores",2000,1,"Salta","A",1503,"66"
"Automotores",2000,1,"San Juan","J",1558,"70"
"Automotores",2000,1,"San Luis","D",899,"74"
"Automotores",2000,1,"Santa Cruz","Z",654,"78"
"Automotores",2000,1,"Santa Fe","S",10113,"82"
"Automotores",2000,1,"Santiago del Estero","G",750,"86"
"Automotores",2000,1,"Tierra del Fuego","V",452,"94"
"Automotores",2000,1,"Tucumán","T",2306,"90"
"Automotores",2000,2,"Buenos Aires","B",22328,"06"
"Automotores",2000,2,"Catamarca","K",249,"10"
"Automotores",2000,2,"Chaco","H",802,"22"
"Automotores",2000,2,"Chubut","U",986,"26"
"Automotores",2000,2,"Ciudad Autónoma de Bs.As.","C",10360,"02"
"Automotores",2000,2,"Córdoba","X",8144,"14"
"Automotores",2000,2,"Corrientes","W",889,"18"
"Automotores",2000,2,"Entre Ríos","E",1913,"30"
"Automotores",2000,2,"Formosa","P",269,"34"
"Automotores",2000,2,"Jujuy","Y",491,"38"
"Automotores",2000,2,"La Pampa","L",624,"42"
"Automotores",2000,2,"La Rioja","F",340,"46"
"Automotores",2000,2,"Mendoza","M",4035,"50"
"Automotores",2000,2,"Misiones","N",995,"54"
"Automotores",2000,2,"Neuquén","Q",766,"58"
"Automotores",2000,2,"Río Negro","R",792,"62"
"Automotores",2000,2,"Salta","A",737,"66"
"Automotores",2000,2,"San Juan","J",945,"70"
"Automotores",2000,2,"San Luis","D",434,"74"
"Automotores",2000,2,"Santa Cruz","Z",430,"78"
"Automotores",2000,2,"Santa Fe","S",6071,"82"
"Automotores",2000,2,"Santiago del Estero","G",320,"86"
"Automotores",2000,2,"Tierra del Fuego","V",370,"94"
"Automotores",2000,2,"Tucumán","T",1016,"90"
"Automotores",2000,3,"Buenos Aires","B",24775,"06"
"Automotores",2000,3,"Catamarca","K",295,"10"
"Automotores",2000,3,"Chaco","H",751,"22"
"Automotores",2000,3,"Chubut","U",1111,"26"
"Automotores",2000,3,"Ciudad Autónoma de Bs.As.","C",11512,"02"
"Automotores",2000,3,"Córdoba","X",8957,"14"
"Automotores",2000,3,"Corrientes","W",854,"18"
"Automotores",2000,3,"Entre Ríos","E",2136,"30"
"Automotores",2000,3,"Formosa","P",336,"34"
"Automotores",2000,3,"Jujuy","Y",551,"38"
"Automotores",2000,3,"La Pampa","L",676,"42"
"Automotores",2000,3,"La Rioja","F",331,"46"
"Automotores",2000,3,"Mendoza","M",4705,"50"
"Automotores",2000,3,"Misiones","N",1001,"54"
"Automotores",2000,3,"Neuquén","Q",878,"58"
"Automotores",2000,3,"Río Negro","R",939,"62"
"Automotores",2000,3,"Salta","A",816,"66"
"Automotores",2000,3,"San Juan","J",1003,"70"
"Automotores",2000,3,"San Luis","D",432,"74"
"Automotores",2000,3,"Santa Cruz","Z",521,"78"
"Automotores",2000,3,"Santa Fe","S",6551,"82"
"Automotores",2000,3,"Santiago del Estero","G",383,"86"
"Automotores",2000,3,"Tierra del Fuego","V",462,"94"
"Automotores",2000,3,"Tucumán","T",966,"90"
"Automotores",2000,4,"Buenos Aires","B",18521,"06"
"Automotores",2000,4,"Catamarca","K",209,"10"
"Automotores",2000,4,"Chaco","H",553,"22"
"Automotores",2000,4,"Chubut","U",908,"26"
"Automotores",2000,4,"Ciudad Autónoma de Bs.As.","C",8980,"02"
"Automotores",2000,4,"Córdoba","X",7192,"14"
"Automotores",2000,4,"Corrientes","W",650,"18"
"Automotores",2000,4,"Entre Ríos","E",1657,"30"
"Automotores",2000,4,"Formosa","P",202,"34"
"Automotores",2000,4,"Jujuy","Y",439,"38"
"Automotores",2000,4,"La Pampa","L",487,"42"
"Automotores",2000,4,"La Rioja","F",235,"46"
"Automotores",2000,4,"Mendoza","M",3817,"50"
"Automotores",2000,4,"Misiones","N",773,"54"
"Automotores",2000,4,"Neuquén","Q",680,"58"
"Automotores",2000,4,"Río Negro","R",701,"62"
"Automotores",2000,4,"Salta","A",525,"66"
"Automotores",2000,4,"San Juan","J",716,"70"
"Automotores",2000,4,"San Luis","D",303,"74"
"Automotores",2000,4,"Santa Cruz","Z",352,"78"
"Automotores",2000,4,"Santa Fe","S",4929,"82"
"Automotores",2000,4,"Santiago del Estero","G",226,"86"
"Automotores",2000,4,"Tierra del Fuego","V",361,"94"
"Automotores",2000,4,"Tucumán","T",677,"90"
"Automotores",2000,5,"Buenos Aires","B",19735,"06"
"Automotores",2000,5,"Catamarca","K",248,"10"
"Automotores",2000,5,"Chaco","H",664,"22"
"Automotores",2000,5,"Chubut","U",1001,"26"
"Automotores",2000,5,"Ciudad Autónoma de Bs.As.","C",9775,"02"
"Automotores",2000,5,"Córdoba","X",8296,"14"
"Automotores",2000,5,"Corrientes","W",761,"18"
"Automotores",2000,5,"Entre Ríos","E",1821,"30"
"Automotores",2000,5,"Formosa","P",229,"34"
"Automotores",2000,5,"Jujuy","Y",531,"38"
"Automotores",2000,5,"La Pampa","L",549,"42"
"Automotores",2000,5,"La Rioja","F",277,"46"
"Automotores",2000,5,"Mendoza","M",4306,"50"
"Automotores",2000,5,"Misiones","N",966,"54"
"Automotores",2000,5,"Neuquén","Q",764,"58"
"Automotores",2000,5,"Río Negro","R",726,"62"
"Automotores",2000,5,"Salta","A",627,"66"
"Automotores",2000,5,"San Juan","J",845,"70"
"Automotores",2000,5,"San Luis","D",375,"74"
"Automotores",2000,5,"Santa Cruz","Z",408,"78"
"Automotores",2000,5,"Santa Fe","S",5500,"82"
"Automotores",2000,5,"Santiago del Estero","G",304,"86"
"Automotores",2000,5,"Tierra del Fuego","V",377,"94"
"Automotores",2000,5,"Tucumán","T",946,"90"
"Automotores",2000,6,"Buenos Aires","B",19352,"06"
"Automotores",2000,6,"Catamarca","K",238,"10"
"Automotores",2000,6,"Chaco","H",653,"22"
"Automotores",2000,6,"Chubut","U",853,"26"
"Automotores",2000,6,"Ciudad Autónoma de Bs.As.","C",10185,"02"
"Automotores",2000,6,"Córdoba","X",8254,"14"
"Automotores",2000,6,"Corrientes","W",729,"18"
"Automotores",2000,6,"Entre Ríos","E",1742,"30"
